idWeeks;datStart;datEnd;nYear;nMonth;nCalendarWeek
563;2008-10-13;2008-10-19;2008;10;42
564;2008-10-20;2008-10-26;2008;10;43
565;2008-10-27;2008-11-02;2008;10;44
566;2008-11-03;2008-11-09;2008;11;45
567;2008-11-10;2008-11-16;2008;11;46
568;2008-11-17;2008-11-23;2008;11;47
569;2008-11-24;2008-11-30;2008;11;48
570;2008-12-01;2008-12-07;2008;12;49
571;2008-12-08;2008-12-14;2008;12;50
572;2008-12-15;2008-12-21;2008;12;51
573;2008-12-22;2008-12-28;2008;12;52
574;2008-12-29;2009-01-04;2008;12;53
575;2009-01-05;2009-01-11;2009;1;2
576;2009-01-12;2009-01-18;2009;1;3
577;2009-01-19;2009-01-25;2009;1;4
578;2009-01-26;2009-02-01;2009;1;5
579;2009-02-02;2009-02-08;2009;2;6
580;2009-02-09;2009-02-15;2009;2;7
581;2009-02-16;2009-02-22;2009;2;8
582;2009-02-23;2009-03-01;2009;2;9
583;2009-03-02;2009-03-08;2009;3;10
584;2009-03-09;2009-03-15;2009;3;11
585;2009-03-16;2009-03-22;2009;3;12
586;2009-03-23;2009-03-29;2009;3;13
587;2009-03-30;2009-04-05;2009;3;14
588;2009-04-06;2009-04-12;2009;4;15
589;2009-04-13;2009-04-19;2009;4;16
590;2009-04-20;2009-04-26;2009;4;17
591;2009-04-27;2009-05-03;2009;4;18
592;2009-05-04;2009-05-10;2009;5;19
593;2009-05-11;2009-05-17;2009;5;20
594;2009-05-18;2009-05-24;2009;5;21
595;2009-05-25;2009-05-31;2009;5;22
596;2009-06-01;2009-06-07;2009;6;23
597;2009-06-08;2009-06-14;2009;6;24
598;2009-06-15;2009-06-21;2009;6;25
599;2009-06-22;2009-06-28;2009;6;26
600;2009-06-29;2009-07-05;2009;6;27
601;2009-07-06;2009-07-12;2009;7;28
